ID	file_name_F	file_name_R	sequencing_batch	label	date	station	season
2	18118-0002_S11_L001_R1_001.fastq	18118-0002_S11_L001_R2_001.fastq	18118_batch1	11/7-17 S	11.07.2017	S	Summer
3	18118-0003_S21_L001_R1_001.fastq	18118-0003_S21_L001_R2_001.fastq	18118_batch1	13/7-17 F	13.07.2017	F	Summer
4	18118-0004_S31_L001_R1_001.fastq	18118-0004_S31_L001_R2_001.fastq	18118_batch1	26/7-17 S	26.07.2017	S	Summer
5	18118-0005_S41_L001_R1_001.fastq	18118-0005_S41_L001_R2_001.fastq	18118_batch1	27/7-17 F	27.07.2017	F	Summer
6	18118-0006_S51_L001_R1_001.fastq	18118-0006_S51_L001_R2_001.fastq	18118_batch1	9/8-17 S	09.08.2017	S	Summer
7	18118-0007_S61_L001_R1_001.fastq	18118-0007_S61_L001_R2_001.fastq	18118_batch1	10/8-17 F	10.08.2017	F	Summer
8	18118-0008_S70_L001_R1_001.fastq	18118-0008_S70_L001_R2_001.fastq	18118_batch1	23/8-17 S	23.08.2017	S	Summer
9	18118-0009_S2_L001_R1_001.fastq	18118-0009_S2_L001_R2_001.fastq	18118_batch1	24/8-17 F	24.08.2017	F	Summer
10	18118-0415_R1_all.fastq	18118-0415_R2_all.fastq	18118_batch4	14/9-17 S	14.09.2017	S	Summer
11	18118-0010_S12_L001_R1_001.fastq	18118-0010_S12_L001_R2_001.fastq	18118_batch1	19/9-17 F	19.09.2017	F	Summer
12	18118-0011_S22_L001_R1_001.fastq	18118-0011_S22_L001_R2_001.fastq	18118_batch1	11/10-17 S	11.10.2017	S	Autumn
13	18118-0012_S32_L001_R1_001.fastq	18118-0012_S32_L001_R2_001.fastq	18118_batch1	12/10-17 F	12.10.2017	F	Autumn
14	18118-0013_S42_L001_R1_001.fastq	18118-0013_S42_L001_R2_001.fastq	18118_batch1	22/11-17 S	22.11.2017	S	Autumn
15	18118-0014_S52_L001_R1_001.fastq	18118-0014_S52_L001_R2_001.fastq	18118_batch1	23/11-17 F	23.11.2017	F	Autumn
16	18118-0015_S62_L001_R1_001.fastq	18118-0015_S62_L001_R2_001.fastq	18118_batch1	13/12-17 S	13.12.2017	S	Autumn
17	18118-0016_S71_L001_R1_001.fastq	18118-0016_S71_L001_R2_001.fastq	18118_batch1	14/12-17 F	14.12.2017	F	Autumn
18	18118-0017_S3_L001_R1_001.fastq	18118-0017_S3_L001_R2_001.fastq	18118_batch1	12/2-18 S	12.02.2018	S	Winter
19	18118-0018_S13_L001_R1_001.fastq	18118-0018_S13_L001_R2_001.fastq	18118_batch1	13/2-18 F	13.02.2018	F	Winter
20	18118-0019_S23_L001_R1_001.fastq	18118-0019_S23_L001_R2_001.fastq	18118_batch1	26/3-18 S	26.03.2018	S	Winter
21	18118-0416_R1_all.fastq	18118-0416_R2_all.fastq	18118_batch4	27/3-18 F	27.03.2018	F	Winter
22	18118-0020_S33_L001_R1_001.fastq	18118-0020_S33_L001_R2_001.fastq	18118_batch1	23/4-18 S	23.04.2018	S	Spring
23_1	18118-0417_R1_all.fastq	18118-0417_R2_all.fastq	18118_batch4	24/4-18 F-1	24.04.2018	F	Spring
23_2	18118-0420_R1_all.fastq	18118-0420_R2_all.fastq	18118_batch4	24/4-18 F-2	24.04.2018	F	Spring
24	18118-0021_S43_L001_R1_001.fastq	18118-0021_S43_L001_R2_001.fastq	18118_batch1	21/5-18 S	21.05.2018	S	Spring
25	18118-0022_S53_L001_R1_001.fastq	18118-0022_S53_L001_R2_001.fastq	18118_batch1	22/5-18 F	22.05.2018	F	Spring
26	18118-0023_S63_L001_R1_001.fastq	18118-0023_S63_L001_R2_001.fastq	18118_batch1	18/6-18 S	18.06.2018	S	Spring
27	18118-0024_S72_L001_R1_001.fastq	18118-0024_S72_L001_R2_001.fastq	18118_batch1	19/6-18 F	19.06.2018	F	Spring
28	18118-0025_S4_L001_R1_001.fastq	18118-0025_S4_L001_R2_001.fastq	18118_batch1	9/7-18 S	09.07.2018	S	Summer
29	18118-0026_S14_L001_R1_001.fastq	18118-0026_S14_L001_R2_001.fastq	18118_batch1	10/7-18 F	10.07.2018	F	Summer
30	18118-0418_R1_all.fastq	18118-0418_R2_all.fastq	18118_batch4	8/8-18 S	08.08.2018	S	Summer
31	18118-0419_R1_all.fastq	18118-0419_R2_all.fastq	18118_batch4	9/8-18 F	09.08.2018	F	Summer
32	18118-0027_S24_L001_R1_001.fastq	18118-0027_S24_L001_R2_001.fastq	18118_batch1	3/9-18 S	03.09.2018	S	Summer
33	18118-0028_S34_L001_R1_001.fastq	18118-0028_S34_L001_R2_001.fastq	18118_batch1	4/9-18 F	04.09.2018	F	Summer
34	18118-0029_S44_L001_R1_001.fastq	18118-0029_S44_L001_R2_001.fastq	18118_batch1	4/10-18 S	04.10.2018	S	Autumn
35	18118-0030_S54_L001_R1_001.fastq	18118-0030_S54_L001_R2_001.fastq	18118_batch1	5/10-18 F	05.10.2018	F	Autumn
ATCC_1	18118-0001_S1_L001_R1_001.fastq	18118-0001_S1_L001_R2_001.fastq	18118_batch1	ATCC_MSA-1002_1			
NC_1	NC_1_18118-0070_S59_L001_R1_001.fastq	NC_1_18118-0070_S59_L001_R2_001.fastq	18118_batch1	NEGATIVE_CONTROL_1			
ATCC_5	18118-0422_R1_all.fastq	18118-0422_R2_all.fastq	18118_batch4	ATCC_MSA-1002_5			
NC_5	NC_5_18118-0423_R1_all.fastq	NC_5_18118-0423_R2_all.fastq	18118_batch4	NEGATIVE_CONTROL_5			
